,userID,date,totalStep
0,USER1,2019-01-26,5166
1,USER1,2019-01-27,734
2,USER1,2019-01-28,6132
3,USER1,2019-01-29,42
4,USER1,2019-01-30,1450
5,USER1,2019-01-31,522
6,USER1,2019-02-01,2658
7,USER1,2019-02-02,506
8,USER1,2019-02-03,6552
9,USER1,2019-02-04,9722
10,USER1,2019-02-05,714
11,USER1,2019-02-06,986
12,USER1,2019-02-07,0
13,USER1,2019-02-08,0
14,USER1,2019-02-09,0
15,USER1,2019-02-10,0
16,USER1,2019-02-11,0
17,USER1,2019-02-12,0
18,USER1,2019-02-13,1454
19,USER1,2019-02-14,2276
20,USER1,2019-02-15,0
21,USER1,2019-02-16,1036
22,USER1,2019-02-17,1500
23,USER1,2019-02-18,66
24,USER1,2019-02-19,462
25,USER1,2019-02-20,0
26,USER1,2019-02-21,0
27,USER1,2019-02-22,0
28,USER1,2019-02-23,390
29,USER1,2019-02-24,5510
30,USER1,2019-02-25,76
31,USER1,2019-02-26,1178
32,USER1,2019-02-27,0
33,USER1,2019-02-28,1090
34,USER1,2019-03-01,7792
35,USER1,2019-03-02,0
36,USER1,2019-03-03,0
37,USER1,2019-03-04,3888
38,USER1,2019-03-05,724
39,USER1,2019-03-06,284
40,USER1,2019-03-07,2460
41,USER1,2019-03-08,14
42,USER1,2019-03-09,0
43,USER1,2019-03-10,418
44,USER1,2019-03-11,468
45,USER1,2019-03-12,758
46,USER1,2019-03-13,0
47,USER1,2019-03-14,0
48,USER1,2019-03-15,0
49,USER1,2019-03-16,1724
50,USER1,2019-03-17,1634
51,USER1,2019-03-18,402
52,USER1,2019-03-19,0
53,USER1,2019-03-20,228
54,USER1,2019-03-21,686
55,USER1,2019-03-22,314
56,USER1,2019-03-23,1392
57,USER1,2019-03-24,6970
58,USER1,2019-03-25,2548
59,USER1,2019-03-26,2144
60,USER1,2019-03-27,666
61,USER1,2019-03-28,526
62,USER1,2019-03-29,0
63,USER1,2019-03-30,306
64,USER1,2019-03-31,590
65,USER1,2019-04-01,1024
66,USER1,2019-04-02,496
67,USER1,2019-04-03,3352
68,USER1,2019-04-04,238
69,USER1,2019-04-05,662
70,USER1,2019-04-06,5202
71,USER1,2019-04-07,336
72,USER1,2019-04-08,0
73,USER1,2019-04-09,6670
74,USER1,2019-04-10,4428
75,USER1,2019-04-11,3668
76,USER1,2019-04-12,0
77,USER1,2019-04-13,1340
78,USER1,2019-04-14,834
79,USER1,2019-04-15,0
80,USER1,2019-04-16,1114
81,USER1,2019-04-17,0
82,USER1,2019-04-18,1894
83,USER1,2019-04-19,0
84,USER1,2019-04-20,646
85,USER1,2019-04-21,1556
86,USER1,2019-04-22,4188
87,USER1,2019-04-23,1312
88,USER1,2019-04-24,0
89,USER1,2019-04-25,1298
90,USER1,2019-04-26,6616
91,USER1,2019-04-27,3574
92,USER1,2019-04-28,6866
93,USER1,2019-04-29,2616
94,USER1,2019-04-30,1326
95,USER1,2019-05-01,4532
96,USER1,2019-05-02,5338
97,USER1,2019-05-03,0
98,USER1,2019-05-04,2930
99,USER1,2019-05-05,4936
100,USER1,2019-05-06,4132
101,USER1,2019-05-07,1676
102,USER1,2019-05-08,4834
103,USER1,2019-05-09,2654
104,USER1,2019-05-10,792
105,USER1,2019-05-11,3422
106,USER1,2019-05-12,1524
107,USER1,2019-05-13,224
108,USER1,2019-05-14,1038
0,USER2,2019-01-26,5166
1,USER2,2019-01-27,734
2,USER2,2019-01-28,6132
3,USER2,2019-01-29,42
4,USER2,2019-01-30,1450
5,USER2,2019-01-31,522
6,USER2,2019-02-01,2658
7,USER2,2019-02-02,506
8,USER2,2019-02-03,6552
9,USER2,2019-02-04,9722
10,USER2,2019-02-05,714
11,USER2,2019-02-06,986
12,USER2,2019-02-07,0
13,USER2,2019-02-08,0
14,USER2,2019-02-09,0
15,USER2,2019-02-10,0
16,USER2,2019-02-11,0
17,USER2,2019-02-12,0
18,USER2,2019-02-13,1454
19,USER2,2019-02-14,2276
20,USER2,2019-02-15,0
21,USER2,2019-02-16,1036
22,USER2,2019-02-17,1500
23,USER2,2019-02-18,66
24,USER2,2019-02-19,462
25,USER2,2019-02-20,0
26,USER2,2019-02-21,0
27,USER2,2019-02-22,0
28,USER2,2019-02-23,390
29,USER2,2019-02-24,5510
30,USER2,2019-02-25,76
31,USER2,2019-02-26,1178
32,USER2,2019-02-27,0
33,USER2,2019-02-28,1090
34,USER2,2019-03-01,7792
35,USER2,2019-03-02,0
36,USER2,2019-03-03,0
37,USER2,2019-03-04,3888
38,USER2,2019-03-05,724
39,USER2,2019-03-06,284
40,USER2,2019-03-07,2460
41,USER2,2019-03-08,14
42,USER2,2019-03-09,0
43,USER2,2019-03-10,418
44,USER2,2019-03-11,468
45,USER2,2019-03-12,758
46,USER2,2019-03-13,0
47,USER2,2019-03-14,0
48,USER2,2019-03-15,0
49,USER2,2019-03-16,1724
50,USER2,2019-03-17,1634
51,USER2,2019-03-18,402
52,USER2,2019-03-19,0
53,USER2,2019-03-20,228
54,USER2,2019-03-21,686
55,USER2,2019-03-22,314
56,USER2,2019-03-23,1392
57,USER2,2019-03-24,6970
58,USER2,2019-03-25,2548
59,USER2,2019-03-26,2144
60,USER2,2019-03-27,666
61,USER2,2019-03-28,526
62,USER2,2019-03-29,0
63,USER2,2019-03-30,306
64,USER2,2019-03-31,590
65,USER2,2019-04-01,1024
66,USER2,2019-04-02,496
67,USER2,2019-04-03,3352
68,USER2,2019-04-04,238
69,USER2,2019-04-05,662
70,USER2,2019-04-06,5202
71,USER2,2019-04-07,336
72,USER2,2019-04-08,0
73,USER2,2019-04-09,6670
74,USER2,2019-04-10,4428
75,USER2,2019-04-11,3668
76,USER2,2019-04-12,0
77,USER2,2019-04-13,1340
78,USER2,2019-04-14,834
79,USER2,2019-04-15,0
80,USER2,2019-04-16,1114
81,USER2,2019-04-17,0
82,USER2,2019-04-18,1894
83,USER2,2019-04-19,0
84,USER2,2019-04-20,646
85,USER2,2019-04-21,1556
86,USER2,2019-04-22,4188
87,USER2,2019-04-23,1312
88,USER2,2019-04-24,0
89,USER2,2019-04-25,1298
90,USER2,2019-04-26,6616
91,USER2,2019-04-27,3574
92,USER2,2019-04-28,6866
93,USER2,2019-04-29,2616
94,USER2,2019-04-30,1326
95,USER2,2019-05-01,4532
96,USER2,2019-05-02,5338
97,USER2,2019-05-03,0
98,USER2,2019-05-04,2930
99,USER2,2019-05-05,4936
100,USER2,2019-05-06,4132
101,USER2,2019-05-07,1676
102,USER2,2019-05-08,4834
103,USER2,2019-05-09,2654
104,USER2,2019-05-10,792
105,USER2,2019-05-11,3422
106,USER2,2019-05-12,1524
107,USER2,2019-05-13,224
108,USER2,2019-05-14,1038
0,USER3,2019-01-26,5166
1,USER3,2019-01-27,734
2,USER3,2019-01-28,6132
3,USER3,2019-01-29,42
4,USER3,2019-01-30,1450
5,USER3,2019-01-31,522
6,USER3,2019-02-01,2658
7,USER3,2019-02-02,506
8,USER3,2019-02-03,6552
9,USER3,2019-02-04,9722
10,USER3,2019-02-05,714
11,USER3,2019-02-06,986
12,USER3,2019-02-07,0
13,USER3,2019-02-08,0
14,USER3,2019-02-09,0
15,USER3,2019-02-10,0
16,USER3,2019-02-11,0
17,USER3,2019-02-12,0
18,USER3,2019-02-13,1454
19,USER3,2019-02-14,2276
20,USER3,2019-02-15,0
21,USER3,2019-02-16,1036
22,USER3,2019-02-17,1500
23,USER3,2019-02-18,66
24,USER3,2019-02-19,462
25,USER3,2019-02-20,0
26,USER3,2019-02-21,0
27,USER3,2019-02-22,0
28,USER3,2019-02-23,390
29,USER3,2019-02-24,5510
30,USER3,2019-02-25,76
31,USER3,2019-02-26,1178
32,USER3,2019-02-27,0
33,USER3,2019-02-28,1090
34,USER3,2019-03-01,7792
35,USER3,2019-03-02,0
36,USER3,2019-03-03,0
37,USER3,2019-03-04,3888
38,USER3,2019-03-05,724
39,USER3,2019-03-06,284
